[MF-PointSVM] Epoch 28/50, Train loss: 0.459917, Validate loss: 0.605484, NDCG@10: 0.133888, HitRate@10: 0.271225
[MF-PointSVM] Epoch 29/50, Train loss: 0.452231, Validate loss: 0.600346, NDCG@10: 0.132905, HitRate@10: 0.270255
[MF-PointSVM] Epoch 30/50, Train loss: 0.444018, Validate loss: 0.594887, NDCG@10: 0.133067, HitRate@10: 0.270231
[MF-PointSVM] Epoch 31/50, Train loss: 0.435354, Validate loss: 0.589115, NDCG@10: 0.133215, HitRate@10: 0.270959
[MF-PointSVM] Epoch 32/50, Train loss: 0.426367, Validate loss: 0.583081, NDCG@10: 0.133016, HitRate@10: 0.270740
[MF-PointSVM] Epoch 33/50, Train loss: 0.417260, Validate loss: 0.576890, NDCG@10: 0.132577, HitRate@10: 0.270595
[MF-PointSVM] Epoch 34/50, Train loss: 0.408319, Validate loss: 0.570712, NDCG@10: 0.132828, HitRate@10: 0.271298
[MF-PointSVM] Epoch 35/50, Train loss: 0.399900, Validate loss: 0.564816, NDCG@10: 0.135522, HitRate@10: 0.274525
[MF-PointSVM] Epoch 36/50, Train loss: 0.392404, Validate loss: 0.559533, NDCG@10: 0.136188, HitRate@10: 0.276853
[MF-PointSVM] Epoch 37/50, Train loss: 0.386236, Validate loss: 0.555176, NDCG@10: 0.139553, HitRate@10: 0.281608
[MF-PointSVM] Epoch 38/50, Train loss: 0.381677, Validate loss: 0.551860, NDCG@10: 0.141186, HitRate@10: 0.285246
[MF-PointSVM] Epoch 39/50, Train loss: 0.378601, Validate loss: 0.549430, NDCG@10: 0.142450, HitRate@10: 0.286217
[MF-PointSVM] Epoch 40/50, Train loss: 0.376442, Validate loss: 0.547552, NDCG@10: 0.143667, HitRate@10: 0.290074
[MF-PointSVM] Epoch 41/50, Train loss: 0.374666, Validate loss: 0.545909, NDCG@10: 0.143483, HitRate@10: 0.290341
[MF-PointSVM] Epoch 42/50, Train loss: 0.373014, Validate loss: 0.544346, NDCG@10: 0.144585, HitRate@10: 0.290462
[MF-PointSVM] Epoch 43/50, Train loss: 0.371424, Validate loss: 0.542860, NDCG@10: 0.145221, HitRate@10: 0.291602
[MF-PointSVM] Epoch 44/50, Train loss: 0.369974, Validate loss: 0.541567, NDCG@10: 0.144766, HitRate@10: 0.292524
[MF-PointSVM] Epoch 45/50, Train loss: 0.368855, Validate loss: 0.540553, NDCG@10: 0.144480, HitRate@10: 0.290850
[MF-PointSVM] Epoch 46/50, Train loss: 0.368196, Validate loss: 0.539624, NDCG@10: 0.143866, HitRate@10: 0.290535
[MF-PointSVM] Epoch 47/50, Train loss: 0.367615, Validate loss: 0.538497, NDCG@10: 0.144099, HitRate@10: 0.290535
[MF-PointSVM] Epoch 48/50, Train loss: 0.366641, Validate loss: 0.537168, NDCG@10: 0.143160, HitRate@10: 0.288740
[MF-PointSVM] Epoch 49/50, Train loss: 0.365348, Validate loss: 0.535788, NDCG@10: 0.143625, HitRate@10: 0.287891
[MF-PointSVM] Epoch 50/50, Train loss: 0.364001, Validate loss: 0.534449, NDCG@10: 0.143022, HitRate@10: 0.286387
